,Time,Mode,Alarm01,Alarm02,Alarm03,Alarm04,Alarm05
4836,2020-08-22 13:46:38,[SET],29,0,0,0,0
4837,2020-08-22 13:46:39,[RST],29,0,0,0,0
4838,2020-08-22 13:46:45,[SET],29,0,0,0,0
4839,2020-08-22 13:51:17,[RST],29,0,0,0,0
4840,2020-08-22 13:52:55,[SET],29,0,0,0,0
4841,2020-08-22 13:52:58,[RST],29,0,0,0,0
4842,2020-08-22 13:52:59,[SET],29,0,0,0,0
4843,2020-08-22 13:53:06,[RST],29,0,0,0,0
4844,2020-08-22 13:56:05,[SET],29,0,0,0,0
4845,2020-08-22 13:58:58,[RST],29,0,0,0,0
4846,2020-08-22 13:59:06,[SET],29,0,0,0,0
4847,2020-08-22 13:59:11,[RST],29,0,0,0,0
11353,2021-01-21 14:10:31,[SET],29,0,0,0,0
11354,2021-01-21 14:24:40,[SET],14,23,29,0,0
11361,2021-01-23 07:23:22,[SET],29,0,0,0,0
11364,2021-01-23 11:06:48,[SET],29,0,0,0,0
11376,2021-01-24 12:43:02,[SET],29,0,0,0,0
11377,2021-01-24 14:37:34,[SET],29,0,0,0,0
11393,2021-01-25 11:13:55,[SET],29,0,0,0,0
11411,2021-01-25 12:21:49,[SET],29,0,0,0,0
11445,2021-01-27 15:41:09,[SET],29,0,0,0,0
11455,2021-01-28 17:53:56,[SET],29,0,0,0,0
11471,2021-01-29 12:13:53,[SET],29,0,0,0,0
11480,2021-01-29 13:49:46,[SET],29,0,0,0,0
11484,2021-01-29 17:17:30,[SET],29,0,0,0,0
11498,2021-01-30 12:32:40,[SET],29,0,0,0,0
11499,2021-01-30 12:43:26,[SET],14,23,29,140,249
11561,2021-01-31 14:22:19,[SET],14,29,140,249,0
11566,2021-01-31 21:32:51,[SET],29,0,0,0,0
11585,2021-02-01 10:36:09,[SET],29,0,0,0,0
11594,2021-02-01 13:14:07,[SET],29,0,0,0,0
11599,2021-02-01 19:52:22,[SET],29,0,0,0,0
11602,2021-02-01 21:08:22,[SET],29,0,0,0,0
11610,2021-02-02 11:01:20,[SET],29,0,0,0,0
11612,2021-02-02 16:38:52,[SET],29,0,0,0,0
11614,2021-02-02 17:29:00,[SET],29,0,0,0,0
11616,2021-02-02 19:47:21,[SET],29,0,0,0,0
11622,2021-02-03 12:14:22,[SET],29,0,0,0,0
11645,2021-02-05 11:43:12,[SET],29,0,0,0,0
11658,2021-02-05 14:59:41,[SET],29,0,0,0,0
11662,2021-02-05 17:14:26,[SET],29,0,0,0,0
11663,2021-02-05 17:14:30,[SET],29,0,0,0,0
11668,2021-02-06 10:48:34,[SET],29,0,0,0,0
11671,2021-02-06 11:53:35,[SET],29,0,0,0,0
11677,2021-02-07 08:17:49,[SET],29,0,0,0,0
11692,2021-02-08 00:55:28,[SET],29,0,0,0,0
11702,2021-02-08 11:20:45,[SET],29,0,0,0,0
11705,2021-02-08 13:19:42,[SET],29,0,0,0,0
11706,2021-02-08 13:58:49,[SET],29,0,0,0,0
11714,2021-02-09 12:02:30,[SET],29,0,0,0,0
11720,2021-02-09 17:45:59,[SET],29,0,0,0,0
11752,2021-02-10 11:01:05,[SET],29,0,0,0,0
11762,2021-02-10 13:45:58,[SET],29,0,0,0,0
11788,2021-02-11 04:45:40,[SET],14,29,140,249,0
11792,2021-02-11 18:15:36,[SET],29,0,0,0,0
11807,2021-02-12 11:37:57,[SET],29,0,0,0,0
12014,2021-02-13 12:11:47,[SET],14,29,140,249,0
12021,2021-02-13 22:48:28,[SET],14,23,29,140,249
12064,2021-02-15 11:16:41,[SET],29,0,0,0,0
12075,2021-02-16 10:19:24,[SET],29,0,0,0,0
12076,2021-02-16 15:08:08,[SET],29,0,0,0,0
12077,2021-02-16 17:35:54,[SET],29,0,0,0,0
12084,2021-02-17 11:02:32,[SET],29,0,0,0,0
12094,2021-02-17 18:36:03,[SET],29,0,0,0,0
12135,2021-02-19 11:16:57,[SET],29,0,0,0,0
12150,2021-02-20 11:11:06,[SET],29,0,0,0,0
12158,2021-02-20 16:46:11,[SET],20,29,140,174,0
12164,2021-02-21 19:11:32,[SET],20,29,140,174,0
12166,2021-02-21 22:02:49,[SET],20,29,140,174,0
12168,2021-02-22 14:15:49,[SET],20,29,140,174,0
12170,2021-02-22 14:48:30,[SET],20,29,140,174,0
12172,2021-02-23 08:15:01,[SET],20,29,140,174,0
12174,2021-02-23 11:32:46,[SET],20,29,140,174,0
12176,2021-02-26 09:58:34,[SET],20,29,140,174,0
12178,2021-02-26 10:01:29,[SET],20,29,140,174,0
12188,2021-02-28 15:01:47,[SET],29,0,0,0,0
12190,2021-02-28 16:01:27,[SET],29,0,0,0,0
12204,2021-03-01 11:55:58,[SET],29,0,0,0,0
12245,2021-03-03 11:49:13,[SET],29,0,0,0,0
12267,2021-03-04 10:22:56,[SET],29,0,0,0,0
12277,2021-03-04 17:57:47,[SET],29,0,0,0,0
12287,2021-03-05 11:38:47,[SET],29,0,0,0,0
12301,2021-03-05 15:19:34,[SET],29,0,0,0,0
12319,2021-03-06 12:12:56,[SET],14,23,29,140,249
12329,2021-03-07 17:26:31,[SET],29,0,0,0,0
12343,2021-03-08 11:58:21,[SET],29,0,0,0,0
12355,2021-03-08 18:18:41,[SET],29,0,0,0,0
